i,j,feature_i,feature_j,var_emp,shape
1,20,Duration,Purpose_vacation/others,29522.41257358733,"(18, 2)"
0,1,Age,Duration,17139.141622579926,"(20, 18)"
1,24,Duration,Job_3,7498.204924711563,"(18, 2)"
5,16,Saving accounts_moderate,Purpose_education,5888.000406693378,"(2, 2)"
2,16,Sex_female,Purpose_education,3014.9979917599685,"(2, 2)"
0,21,Age,Job_0,2924.1059420393267,"(20, 2)"
1,15,Duration,Purpose_domestic appliances,2839.559041151289,"(18, 2)"
8,27,Saving accounts_unknown,Housing_3,2528.0873021870552,"(2, 2)"
4,20,Saving accounts_little,Purpose_vacation/others,2232.8318354189937,"(2, 2)"
1,9,Duration,Checking account_little,1982.153694171681,"(18, 2)"
0,4,Age,Saving accounts_little,1967.681038137913,"(20, 2)"
11,24,Checking account_rich,Job_3,1709.4255761559991,"(2, 2)"
1,18,Duration,Purpose_radio/TV,1375.163834246986,"(18, 2)"
1,14,Duration,Purpose_car,1107.2222270484958,"(18, 2)"
8,20,Saving accounts_unknown,Purpose_vacation/others,1010.3563562853085,"(2, 2)"
0,9,Age,Checking account_little,920.1180280122334,"(20, 2)"
2,26,Sex_female,Housing_2,848.3407261534655,"(2, 2)"
14,27,Purpose_car,Housing_3,824.5549235672174,"(2, 2)"
0,11,Age,Checking account_rich,628.2608632404522,"(20, 2)"
20,27,Purpose_vacation/others,Housing_3,597.9099602566747,"(2, 2)"
1,2,Duration,Sex_female,559.8404170334891,"(18, 2)"
1,10,Duration,Checking account_moderate,496.31492468608815,"(18, 2)"
0,2,Age,Sex_female,464.1657467224084,"(20, 2)"
5,20,Saving accounts_moderate,Purpose_vacation/others,455.9123616398763,"(2, 2)"
10,18,Checking account_moderate,Purpose_radio/TV,355.3329481032591,"(2, 2)"
0,8,Age,Saving accounts_unknown,192.0172378564585,"(20, 2)"
9,20,Checking account_little,Purpose_vacation/others,187.12098584549472,"(2, 2)"
0,16,Age,Purpose_education,150.3263398293013,"(20, 2)"
8,21,Saving accounts_unknown,Job_0,135.82022447360671,"(2, 2)"
0,10,Age,Checking account_moderate,119.08223290110914,"(20, 2)"
1,27,Duration,Housing_3,113.95215409257032,"(18, 2)"
2,13,Sex_female,Purpose_business,89.91287426531792,"(2, 2)"
0,7,Age,Saving accounts_rich,89.85659958591401,"(20, 2)"
0,24,Age,Job_3,86.88488964542931,"(20, 2)"
1,26,Duration,Housing_2,83.70765686496726,"(18, 2)"
11,18,Checking account_rich,Purpose_radio/TV,72.19104925075577,"(2, 2)"
5,14,Saving accounts_moderate,Purpose_car,31.82351130570799,"(2, 2)"
9,27,Checking account_little,Housing_3,25.479817379419295,"(2, 2)"
1,16,Duration,Purpose_education,19.32112885662024,"(18, 2)"
8,10,Saving accounts_unknown,Checking account_moderate,13.527821203853565,"(2, 2)"
20,26,Purpose_vacation/others,Housing_2,11.122236767643258,"(2, 2)"
8,15,Saving accounts_unknown,Purpose_domestic appliances,1.9560205328955722,"(2, 2)"
15,18,Purpose_domestic appliances,Purpose_radio/TV,1.3810687410372204e-21,"(2, 2)"
15,16,Purpose_domestic appliances,Purpose_education,4.770022611321817e-23,"(2, 2)"
14,20,Purpose_car,Purpose_vacation/others,2.1005914519892686e-23,"(2, 2)"
