function,weight_mode,rho,inter_var_share_mean,inter_var_share_std
F1,empirical,0.0,0.2929921149811601,
F1,empirical,0.97,2.0066800579633844e-05,
F1,indep,0.0,0.3328182821122569,
F1,indep,0.97,0.013720425785616336,
F1,perm_joint,0.0,0.3163957779293569,
F1,perm_joint,0.97,0.012368271491849622,
F1,uniform,0.0,0.35511567523961074,
F1,uniform,0.97,0.05578925641307933,
F2,empirical,0.0,0.8033883892307717,
F2,empirical,0.97,0.056462701752565465,
F2,indep,0.0,0.8441629767582798,
F2,indep,0.97,0.7296929262459537,
F2,perm_joint,0.0,0.8200851456223283,
F2,perm_joint,0.97,0.6784392424986435,
F2,uniform,0.0,0.7772566268532406,
F2,uniform,0.97,0.5947809248218738,
